country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Spain,14.2M,16.8M,20.3M,21.6M,24.6M,28.1M,30.9M,32.5M,39.1M,41.1M,42.7M,48.3M,45.5M,46.4M,49.1M,52.2M,50.4M,47.8M,47.8M,44.8M,42.9M,42.7M,44.7M,45.8M,48.1M,46.7M,47.8M,54M,51.4M,54M,57.7M,59.4M,61.8M,66.8M,69M,69.9M,73M,73.6M,75.9M,78.3M,79M,79.7M,80M,77.3M,72.4M,70.5M,67.2M,62.9M,58.7M,58.3M,60.4M,62.4M,62.5M,63.8M,63.7M
Estonia,,,,,,,,,,,,,,,,,,,,,3.42M,3.39M,3.42M,3.45M,3.56M,3.51M,3.09M,1.67M,1.79M,1.65M,1.3M,1.39M,1.38M,1.37M,1.24M,1.11M,1.27M,1.42M,1.35M,1.38M,1.4M,1.46M,1.56M,1.48M,1.33M,1.38M,1.33M,1.58M,1.57M,1.45M,1.44M,1.4M,1.47M,1.45M,1.48M
Finland,5.72M,6.92M,7.25M,8.22M,9.56M,10.8M,11.1M,11.9M,13.3M,11.6M,11.9M,12.8M,12.5M,12.5M,13.3M,12.8M,12.3M,11.3M,10.5M,10.6M,10.8M,11.3M,11.2M,11M,11M,11.4M,11.2M,11.1M,10.7M,11.1M,10.1M,10.5M,10.3M,10.8M,10.9M,11M,10.7M,11.2M,11.5M,10.7M,11.1M,10.7M,10.9M,10.6M,9.94M,10.4M,9.88M,9.44M,9.83M,9.26M,9.22M,9.98M,9.5M,9.34M,8.94M
France,53.9M,57.7M,66.2M,71.8M,83M,94.3M,103M,114M,127M,121M,110M,119M,115M,119M,118M,110M,99M,91.5M,89.4M,85.9M,84.3M,86M,86.6M,86M,88.4M,89.4M,94.6M,94.4M,91M,88.1M,88.9M,90.7M,91.3M,94.7M,96.1M,94.6M,95.1M,92.5M,92.7M,93.6M,92.4M,92.2M,89.8M,88.1M,84.6M,81.6M,79.9M,77.1M,76M,73.4M,73.3M,72.9M,73.2M,73M,72.4M
United Kingdom,75M,80.3M,86.2M,91.1M,97.9M,104M,105M,111M,114M,106M,92.2M,91.6M,92.3M,94.3M,94.7M,80.9M,74.7M,75.6M,72.5M,89.7M,77.5M,77.5M,75.2M,80M,81.8M,83M,82.6M,83.7M,84.2M,83.2M,82.2M,84.2M,81.7M,81.2M,79.9M,78.8M,78.7M,78.2M,78.7M,81M,83.9M,83.1M,80.4M,78.8M,74.9M,74M,72.8M,70.8M,69.7M,69.5M,71.3M,73.6M,73.8M,72.7M,71.2M
Greece,4.43M,4.84M,5.69M,5.82M,6.19M,6.71M,7.41M,8.59M,10M,9.39M,9.94M,10.6M,10.8M,11.7M,12.4M,12.4M,11.9M,11.9M,11.4M,11.7M,12M,12.2M,13.2M,13.7M,15M,16.1M,16.3M,16.5M,16.9M,17.3M,18.1M,18.8M,19M,19.9M,19.4M,20.2M,20.6M,20.8M,21.6M,21.3M,21.5M,22.6M,22.9M,21.7M,20.5M,18.6M,17.6M,15.6M,14.8M,14.6M,15.1M,15.2M,15.6M,15.3M,15.9M
"Hong Kong, China",2.12M,2.32M,2.78M,3.04M,3.6M,3.89M,4.1M,4.68M,4.86M,4.97M,4.67M,5.52M,5.97M,6.2M,6.34M,6.49M,6.88M,6.69M,5.94M,5.49M,5.16M,5.02M,4.91M,5.63M,6M,6.28M,6.27M,8.06M,8.39M,8.93M,9.57M,9.38M,9.28M,8.9M,9.48M,9.89M,11.8M,12.8M,12.9M,15.3M,13.8M,14.9M,16M,14.5M,16.5M,17.8M,17.9M,17.2M,17.6M,16.6M,18.2M,18.9M,21.4M,21.6M,20.2M
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,4.58M,3.24M,3.24M,3.43M,3.53M,3.92M,3.71M,3.98M,4.49M,4.43M,3.94M,4.04M,4.24M,4.69M,4.41M,4.56M,4.64M,4.74M,4.49M,4.37M,3.7M,3.51M,3.15M,3.04M,3.19M,3.31M,3.32M,3.56M,3.45M,3.31M
Hungary,3.78M,4.14M,4.38M,4.58M,5.12M,5.93M,6.68M,7.26M,8.15M,8.93M,10M,10.5M,11.2M,12.4M,11.6M,11.3M,10.8M,10.2M,9.67M,10.1M,10.3M,9.53M,10M,9.24M,8.93M,9.27M,8.01M,8.09M,7.69M,8.13M,7.65M,7.04M,7.09M,7.43M,7.14M,6.84M,6.69M,6.4M,6.14M,6.34M,7.35M,7.74M,7.69M,7.29M,6.85M,6.47M,6.92M,6.39M,6.29M,7.02M,7.43M,7.37M,7.86M,8.42M,8.49M
Indonesia,6.12M,5.89M,5.67M,5.99M,6.39M,6.79M,7.02M,7.58M,9.05M,9.46M,10.9M,11.7M,13.8M,15.1M,16.5M,18.4M,20.6M,21.4M,21M,22.1M,21.8M,23.8M,24.8M,26M,27.5M,31.7M,33.6M,36.2M,38M,39M,41.5M,44.1M,48.9M,46.5M,48.7M,54.8M,55.5M,57.5M,58.3M,62.1M,61.5M,58.5M,61.8M,60.1M,60.8M,64.7M,73.1M,75.2M,75.7M,76.2M,70.1M,70.5M,74.2M,77.1M,77.1M
